id	sha256	pages	acquired_on	source_url	local_archive_path	rights_status	note
textfiles-travel	fdd475217dcf527efc001c1876383d4b72696161bc0fa9cdef72447eec73fc8a	4	2026-08-16	http://textfiles.com/survival/travel.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/travel.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical travel reference; current closures, boundaries, and hazards take priority.
textfiles-communications	27a52412a114c66e2dfae01cad8dd54ab30d803a50e82b36003aa07b3adfb4fe	2	2026-08-16	http://textfiles.com/survival/commo.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/commo.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical communications reference; radio operation remains subject to current law.
textfiles-tap-code	a08dbb1869b64ceb711fd8d3774884b1817d10206179d8e09e0c2b76ece7b4fd	1	2026-08-16	http://textfiles.com/survival/tapcode.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/tapcode.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical low-technology communication reference.
textfiles-underground-communications	4cb1508e92bab4d47e5d2b09c37ca86b28901ec93a7defa4b50ca5fbdc09d46f	2	2026-08-16	http://textfiles.com/survival/undgcomm.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/undgcomm.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical archive source; identity and claims are not independently verified.
textfiles-quick-fixes	0f678a860cb333467c11fa4b61a1a17e6630055a0a7793c9b5699c8cfcbc4e5c	4	2026-08-16	http://textfiles.com/survival/quickfix.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/quickfix.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical household repair article; assess electrical, structural, and chemical hazards first.
textfiles-beer	8100974e2625810f8405069eb4e4fb09981c9fcfc003604808240e52f90a8d57	5	2026-08-16	http://textfiles.com/food/beer.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/food/beer.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical brewing text; sanitation, pressure, alcohol law, licensing, and sales rules apply.
textfiles-ginger-beer	11402b8da8fc3b72f7a4d9e1525c05cb83abc82d1e7dae0871a0b7983adadd2a	2	2026-08-16	http://textfiles.com/food/gingbeer.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/food/gingbeer.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical recipe with bottle-pressure risk; use pressure-rated containers and current food-safety guidance.
textfiles-brewing-faq	f1931f65d2b3181b7071cd8eb80b95f8b6f5aef6b541f40518c06442d9cfcb12	9	2026-08-16	http://textfiles.com/internet/FAQ/faq-brew.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/internet/FAQ/faq-brew.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical community FAQ; suppliers, addresses, methods, and laws may be obsolete.
textfiles-homebrew-bibliography	14bbe2b629dc0c1b8afb858214c16d0934cb47b8b39a62e2959aa69b0eab34f0	10	2026-08-16	http://textfiles.com/food/homebrew.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/food/homebrew.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical bibliography; many referenced works remain copyrighted.
textfiles-phone-phantom-beer	582fdefabd217cb95c6dafcd4bd3c3b7aaaa646d1c8a68a6a4f147753441dd6b	4	2026-08-16	http://textfiles.com/food/ppbeer.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/food/ppbeer.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Underground historical text; sanitation, pressure, licensing, and sales rules apply.
textfiles-home-alcohol	e830ab2ed76ab810961ae07e9c8a553f038487a4b7733dbb1b10f8b2de942ea7	9	2026-08-16	http://textfiles.com/uploads/homealcohol.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/uploads/homealcohol.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Contains distillation instructions. Beverage-spirit distillation requires federal approval and may violate state/local law; fire, pressure, and toxic-fraction hazards can kill.
textfiles-complete-local-archive	59c301af9eab930227d90ccc1e7455ffb1c7a94a67bca8ce3f6018d628f0cb6f	1	2026-08-16	http://textfiles.com/directory.html	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Pointer to the complete 33,009-file archive and index; only curated sources enter evidence search.
