id	sha256	bytes	pages	downloaded_on	source_url	publisher	safety_note
neets-16-test-equipment	6424034f6e12ac3c9e6c7ad1193f63a67b850665b8b9941134bc536e28b173c2	2008365	272	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_16.pdf	U.S. Navy / public-release mirror	Use instruments and leads rated for the circuit category and voltage.
neets-17-rf-comms	86c2e1de88662369ffd5edc1da9c8d73c9e989db0429a58b0eaa6259c40daddf	5903722	201	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_17.pdf	U.S. Navy / public-release mirror	Observe RF exposure, interference, spectrum, and licensing rules.
neets-18-radar	9a68afd8f48b58ac01553491073d208bb347ef7914ecd5111636e9a8f6149d16	1745612	204	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_18.pdf	U.S. Navy / public-release mirror	Radar equipment combines lethal voltage, RF exposure, and mechanical hazards.
neets-19-handbook	dd4b98fc6db217af90cf6c1c7f8845edbb5699f145b22b4a2b4f09deaa374c4d	1338771	156	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_19.pdf	U.S. Navy / public-release mirror	Reference only; use current component and equipment specifications.
neets-20-glossary	806cb896ec1e22d0c75d43048403af4d5f93a3d7c47fa5d47c3e59584cd3263f	517882	95	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_20.pdf	U.S. Navy / public-release mirror	Terminology reference; not a substitute for equipment-specific procedures.
neets-21-test-methods	8047f597de93befb839fa5fc424be08a28fec4e6214d8ba03e25180d2080b044	2068734	216	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_21.pdf	U.S. Navy / public-release mirror	Live diagnosis is hazardous; use isolation and appropriately rated equipment.
neets-22-computers	9750effc0dc688c0eb02daf423b1cebc432c6ac6030d3882158f8bab1c871d95	7699230	172	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_22.pdf	U.S. Navy / public-release mirror	Historical architecture reference; verify modern interfaces and supply limits.
neets-23-recording	c34e566f77e73e285f4454b0b8633af6f7f1e2de7b9be2bdd55ec5aa1767b4d7	3124709	164	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_23.pdf	U.S. Navy / public-release mirror	Historical equipment reference; rotating and high-voltage hazards may be present.
neets-24-fiber	c3a560f4a068b244751b1db61be50da126a2901e45dcde7d1c5d19c454d4825c	1779761	238	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_24.pdf	U.S. Navy / public-release mirror	Never view an energized fiber; control glass shards and laser exposure.
auto-course-outline	6b423c0e6b2f8b2b2065b520a3747502c0e2b8b26785888dee93fd927135a7b0	1200078	29	2026-08-16	https://files.eric.ed.gov/fulltext/ED034037.pdf	ERIC / U.S. Department of Education archive	Older curriculum; use current manufacturer procedures, specifications, and safety rules.
auto-shop-safety	f7ef09857d39df8c01f31c3a66773b5e558005ca9267741a33bae4ea0950fcf8	7683131	194	2026-08-16	https://stacks.cdc.gov/view/cdc/209348/cdc_209348_DS1.pdf	NIOSH / CDC Stacks	Begin with shop safety; never work beneath a vehicle supported only by a jack.
auto-principles-tm9-8000	8c9fd487d59c3cbaba6ccf5f2a741799ebc73e0d68200d1179478a010280cf4b	18045731	780	2026-08-16	https://radionerds.com/images/e/ea/TM_9-8000_PRINCIPLES_OF_AUTOMOTIVE_VEHICLES.pdf	U.S. Army / public-release mirror	General theory is dated; model-specific torque values, fluids, lifting points, and procedures control.
auto-electrical-army	86c460d066b578e16a65a6137f7bf51af6d8d4bf42b6172fef45100342bc02b3	8561775	408	2026-08-16	https://files.eric.ed.gov/fulltext/ED212800.pdf	U.S. Army curriculum archived by ERIC	Older vehicle technology; isolate batteries and verify current model-specific procedures.
auto-heavy-equipment-basic	5a380b808d99ab9788deeb1bc17c76348939c6e545d17a786d5d11a3434d3463	24172327	650	2026-08-16	https://navytribe.com/wp-content/uploads/2015/11/navedtra-14081.pdf	U.S. Navy / public-release mirror	Heavy equipment requires trained operators, inspections, exclusion zones, and machine-specific manuals.
auto-small-tires-osha	8e1ac74f8819ab115027463f7dc3504643025bee661341a7d7ae0aefed9b8651	250078	4	2026-08-16	https://www.osha.gov/sites/default/files/publications/SHIB042904.pdf	U.S. Occupational Safety and Health Administration	Tire and rim assemblies can fail explosively; use trained procedures and restraining equipment.
auto-brake-asbestos-osha	e1d617cf6a591f8ea33e98ac05d503fcc47ddc2aed5560953092ff320cb25fc2	27145	5	2026-08-16	https://www.osha.gov/sites/default/files/publications/SHIB072606.pdf	U.S. Occupational Safety and Health Administration	Older and replacement friction materials may contain asbestos; do not create airborne dust.
auto-fluid-power	88b4d72cd36eb4a73637507df2afa9e71e6f022d1f6d19a465b33b5627d257c9	5923655	206	2026-08-16	https://www.teachengineering.org/content/pur_/lessons/pur_fluidpower_less1/pur_fluidpower_lesson01_trainingmanualfluidpower.pdf	U.S. Navy / TeachEngineering mirror	Stored hydraulic or pneumatic energy and injection injuries can kill; depressurize and verify zero energy.
auto-heavy-equipment-advanced	b32af32c1d35bf047409fa9ead17c5e5d7e42c1c5b0e626d8bd280a5b8578542	33029899	289	2026-08-16	https://navytribe.com/wp-content/uploads/2015/11/navedtra-14080.pdf	U.S. Navy / public-release mirror	Advanced reference for trained operators; machine-specific load charts and manuals control.
auto-construction-mechanic-advanced	89ea2a37f4c28a00267d9f89195e4f2115e3458609d2d07a8386c40059f05790	9917389	414	2026-08-16	https://navytribe.com/wp-content/uploads/2015/11/navedtra-14050.pdf	U.S. Navy / public-release mirror	Advanced reference; do not improvise safety-critical repairs or exceed manufacturer limits.
auto-aerial-lifts-osha	45ea94f29415454b14d52b3503cd1aa8697ef8f5e64a875b850f020619d7faf5	21438	1	2026-08-16	https://www.osha.gov/sites/default/files/publications/aerial_lifts.pdf	U.S. Occupational Safety and Health Administration	Bucket and aerial lifts require training, fall protection, clearance, inspection, and manufacturer instructions.
