id	title	category	pages	pdf	text
federalist-papers	The Federalist Papers	Philosophy-Government-Power	16	readers/philosophy/federalist-papers.txt	readers/philosophy/federalist-papers.txt
anti-federalist-papers	Selected Anti-Federalist Papers	Philosophy-Government-Power	1	readers/philosophy/anti-federalist-papers.txt	readers/philosophy/anti-federalist-papers.txt
sun-tzu-art-war	The Art of War	Philosophy-War-Peace	144	readers/philosophy/sun-tzu-art-war.txt	readers/philosophy/sun-tzu-art-war.txt
thucydides-peloponnesian-war	History of the Peloponnesian War	Philosophy-War-Peace	385	readers/philosophy/thucydides-peloponnesian-war.txt	readers/philosophy/thucydides-peloponnesian-war.txt
xenophon-cyropaedia	Cyropaedia	Philosophy-War-Peace	226	readers/philosophy/xenophon-cyropaedia.txt	readers/philosophy/xenophon-cyropaedia.txt
machiavelli-art-war	The Art of War	Philosophy-War-Peace	1	readers/philosophy/machiavelli-art-war.txt	readers/philosophy/machiavelli-art-war.txt
grotius-law-war-peace	On the Law of War and Peace	Philosophy-War-Peace	1	readers/philosophy/grotius-law-war-peace.txt	readers/philosophy/grotius-law-war-peace.txt
kant-perpetual-peace	Perpetual Peace	Philosophy-War-Peace	127	readers/philosophy/kant-perpetual-peace.txt	readers/philosophy/kant-perpetual-peace.txt
clausewitz-on-war	On War	Philosophy-War-Peace	604	readers/philosophy/clausewitz-on-war.txt	readers/philosophy/clausewitz-on-war.txt
tolstoy-war-peace	War and Peace	Philosophy-War-Peace	1322	readers/philosophy/tolstoy-war-peace.txt	readers/philosophy/tolstoy-war-peace.txt
tolstoy-kingdom-god	The Kingdom of God Is Within You	Philosophy-War-Peace	266	readers/philosophy/tolstoy-kingdom-god.txt	readers/philosophy/tolstoy-kingdom-god.txt
thoreau-civil-disobedience	Civil Disobedience	Philosophy-War-Peace	213	readers/philosophy/thoreau-civil-disobedience.txt	readers/philosophy/thoreau-civil-disobedience.txt
gandhi-hind-swaraj	Hind Swaraj	Philosophy-War-Peace	1	readers/philosophy/gandhi-hind-swaraj.txt	readers/philosophy/gandhi-hind-swaraj.txt
james-moral-equivalent-war	The Moral Equivalent of War	Philosophy-War-Peace	1	readers/philosophy/james-moral-equivalent-war.txt	readers/philosophy/james-moral-equivalent-war.txt
erasmus-complaint-peace	The Complaint of Peace	Philosophy-War-Peace	1	readers/philosophy/erasmus-complaint-peace.txt	readers/philosophy/erasmus-complaint-peace.txt
plato-apology	Apology	Philosophy-Mind-Human-Nature	37	readers/philosophy/plato-apology.txt	readers/philosophy/plato-apology.txt
plato-crito	Crito	Philosophy-Mind-Human-Nature	22	readers/philosophy/plato-crito.txt	readers/philosophy/plato-crito.txt
plato-phaedo	Phaedo	Philosophy-Mind-Human-Nature	97	readers/philosophy/plato-phaedo.txt	readers/philosophy/plato-phaedo.txt
plato-symposium	Symposium	Philosophy-Mind-Human-Nature	67	readers/philosophy/plato-symposium.txt	readers/philosophy/plato-symposium.txt
plato-meno	Meno	Philosophy-Mind-Human-Nature	63	readers/philosophy/plato-meno.txt	readers/philosophy/plato-meno.txt
plato-gorgias	Gorgias	Philosophy-Mind-Human-Nature	141	readers/philosophy/plato-gorgias.txt	readers/philosophy/plato-gorgias.txt
plato-phaedrus	Phaedrus	Philosophy-Mind-Human-Nature	84	readers/philosophy/plato-phaedrus.txt	readers/philosophy/plato-phaedrus.txt
plato-timaeus	Timaeus	Philosophy-Nature-Science	148	readers/philosophy/plato-timaeus.txt	readers/philosophy/plato-timaeus.txt
plato-protagoras	Protagoras	Philosophy-Mind-Human-Nature	67	readers/philosophy/plato-protagoras.txt	readers/philosophy/plato-protagoras.txt
plato-theaetetus	Theaetetus	Philosophy-Logic-Knowledge	151	readers/philosophy/plato-theaetetus.txt	readers/philosophy/plato-theaetetus.txt
aristotle-metaphysics	Metaphysics	Philosophy-Logic-Knowledge	1	readers/philosophy/aristotle-metaphysics.txt	readers/philosophy/aristotle-metaphysics.txt
aristotle-physics	Physics	Philosophy-Nature-Science	1	readers/philosophy/aristotle-physics.txt	readers/philosophy/aristotle-physics.txt
aristotle-on-soul	On the Soul	Philosophy-Mind-Human-Nature	1	readers/philosophy/aristotle-on-soul.txt	readers/philosophy/aristotle-on-soul.txt
aristotle-categories	Categories	Philosophy-Logic-Knowledge	38	readers/philosophy/aristotle-categories.txt	readers/philosophy/aristotle-categories.txt
aristotle-interpretation	On Interpretation	Philosophy-Logic-Knowledge	1	readers/philosophy/aristotle-interpretation.txt	readers/philosophy/aristotle-interpretation.txt
aristotle-prior-analytics	Prior Analytics	Philosophy-Logic-Knowledge	1	readers/philosophy/aristotle-prior-analytics.txt	readers/philosophy/aristotle-prior-analytics.txt
aristotle-posterior-analytics	Posterior Analytics	Philosophy-Logic-Knowledge	1	readers/philosophy/aristotle-posterior-analytics.txt	readers/philosophy/aristotle-posterior-analytics.txt
aristotle-topics	Topics	Philosophy-Logic-Knowledge	1	readers/philosophy/aristotle-topics.txt	readers/philosophy/aristotle-topics.txt
aristotle-rhetoric	Rhetoric	Philosophy-Logic-Knowledge	1	readers/philosophy/aristotle-rhetoric.txt	readers/philosophy/aristotle-rhetoric.txt
aristotle-poetics	Poetics	Philosophy-Philosophical-Literature	13	readers/philosophy/aristotle-poetics.txt	readers/philosophy/aristotle-poetics.txt
lucretius-nature	De Rerum Natura - On the Nature of Things	Philosophy-Nature-Science	215	readers/philosophy/lucretius-nature.txt	readers/philosophy/lucretius-nature.txt
diogenes-lives	Lives and Opinions of Eminent Philosophers	Philosophy-Mind-Human-Nature	417	readers/philosophy/diogenes-lives.txt	readers/philosophy/diogenes-lives.txt
cicero-ends	On the Ends of Good and Evil	Philosophy-Ethics-Good-Life	1	readers/philosophy/cicero-ends.txt	readers/philosophy/cicero-ends.txt
cicero-tusculan	Tusculan Disputations	Philosophy-Ethics-Good-Life	371	readers/philosophy/cicero-tusculan.txt	readers/philosophy/cicero-tusculan.txt
cicero-republic	On the Republic	Philosophy-Government-Power	78	readers/philosophy/cicero-republic.txt	readers/philosophy/cicero-republic.txt
sextus-pyrrhonism	Outlines of Pyrrhonism	Philosophy-Logic-Knowledge	1	readers/philosophy/sextus-pyrrhonism.txt	readers/philosophy/sextus-pyrrhonism.txt
plotinus-enneads	The Enneads	Philosophy-Meaning-Solitude	1	readers/philosophy/plotinus-enneads.txt	readers/philosophy/plotinus-enneads.txt
porphyry-life-plotinus	Life of Plotinus	Philosophy-Meaning-Solitude	1	readers/philosophy/porphyry-life-plotinus.txt	readers/philosophy/porphyry-life-plotinus.txt
plutarch-lives	Parallel Lives	Philosophy-Philosophical-Literature	451	readers/philosophy/plutarch-lives.txt	readers/philosophy/plutarch-lives.txt
bacon-novum-organum	Novum Organum	Philosophy-Logic-Knowledge	189	readers/philosophy/bacon-novum-organum.txt	readers/philosophy/bacon-novum-organum.txt
bacon-advancement-learning	The Advancement of Learning	Philosophy-Logic-Knowledge	162	readers/philosophy/bacon-advancement-learning.txt	readers/philosophy/bacon-advancement-learning.txt
descartes-discourse	Discourse on the Method	Philosophy-Logic-Knowledge	49	readers/philosophy/descartes-discourse.txt	readers/philosophy/descartes-discourse.txt
descartes-meditations	Meditations on First Philosophy	Philosophy-Logic-Knowledge	1	readers/philosophy/descartes-meditations.txt	readers/philosophy/descartes-meditations.txt
spinoza-ethics	Ethics	Philosophy-Ethics-Good-Life	203	readers/philosophy/spinoza-ethics.txt	readers/philosophy/spinoza-ethics.txt
spinoza-theological-political	Theological-Political Treatise	Philosophy-Government-Power	60	readers/philosophy/spinoza-theological-political.txt	readers/philosophy/spinoza-theological-political.txt
leibniz-monadology	The Monadology	Philosophy-Logic-Knowledge	1	readers/philosophy/leibniz-monadology.txt	readers/philosophy/leibniz-monadology.txt
berkeley-principles	Principles of Human Knowledge	Philosophy-Logic-Knowledge	76	readers/philosophy/berkeley-principles.txt	readers/philosophy/berkeley-principles.txt
hume-enquiry	An Enquiry Concerning Human Understanding	Philosophy-Logic-Knowledge	132	readers/philosophy/hume-enquiry.txt	readers/philosophy/hume-enquiry.txt
hume-treatise	A Treatise of Human Nature	Philosophy-Mind-Human-Nature	441	readers/philosophy/hume-treatise.txt	readers/philosophy/hume-treatise.txt
hume-dialogues	Dialogues Concerning Natural Religion	Philosophy-Logic-Knowledge	78	readers/philosophy/hume-dialogues.txt	readers/philosophy/hume-dialogues.txt
kant-critique-pure-reason	Critique of Pure Reason	Philosophy-Logic-Knowledge	424	readers/philosophy/kant-critique-pure-reason.txt	readers/philosophy/kant-critique-pure-reason.txt
kant-groundwork	Groundwork of the Metaphysics of Morals	Philosophy-Ethics-Good-Life	1	readers/philosophy/kant-groundwork.txt	readers/philosophy/kant-groundwork.txt
mill-system-logic	A System of Logic	Philosophy-Logic-Knowledge	774	readers/philosophy/mill-system-logic.txt	readers/philosophy/mill-system-logic.txt
peirce-selected-essays	Selected Philosophical Essays	Philosophy-Logic-Knowledge	1	readers/philosophy/peirce-selected-essays.txt	readers/philosophy/peirce-selected-essays.txt
james-pragmatism	Pragmatism	Philosophy-Logic-Knowledge	111	readers/philosophy/james-pragmatism.txt	readers/philosophy/james-pragmatism.txt
russell-problems	The Problems of Philosophy	Philosophy-Logic-Knowledge	88	readers/philosophy/russell-problems.txt	readers/philosophy/russell-problems.txt
wittgenstein-tractatus	Tractatus Logico-Philosophicus	Philosophy-Logic-Knowledge	1	readers/philosophy/wittgenstein-tractatus.txt	readers/philosophy/wittgenstein-tractatus.txt
whitehead-science-modern-world	Science and the Modern World	Philosophy-Nature-Science	176	readers/philosophy/whitehead-science-modern-world.txt	readers/philosophy/whitehead-science-modern-world.txt
emerson-nature	Nature	Philosophy-Nature-Science	40	readers/philosophy/emerson-nature.txt	readers/philosophy/emerson-nature.txt
thoreau-walden	Walden	Philosophy-Nature-Science	13	readers/philosophy/thoreau-walden.txt	readers/philosophy/thoreau-walden.txt
darwin-origin	On the Origin of Species	Philosophy-Nature-Science	332	readers/philosophy/darwin-origin.txt	readers/philosophy/darwin-origin.txt
darwin-descent	The Descent of Man	Philosophy-Nature-Science	668	readers/philosophy/darwin-descent.txt	readers/philosophy/darwin-descent.txt
kropotkin-mutual-aid	Mutual Aid	Philosophy-Nature-Science	192	readers/philosophy/kropotkin-mutual-aid.txt	readers/philosophy/kropotkin-mutual-aid.txt
humboldt-cosmos	Cosmos	Philosophy-Nature-Science	389	readers/philosophy/humboldt-cosmos.txt	readers/philosophy/humboldt-cosmos.txt
marsh-man-nature	Man and Nature	Philosophy-Nature-Science	496	readers/philosophy/marsh-man-nature.txt	readers/philosophy/marsh-man-nature.txt
muir-first-summer	My First Summer in the Sierra	Philosophy-Nature-Science	131	readers/philosophy/muir-first-summer.txt	readers/philosophy/muir-first-summer.txt
leopold-sand-county	A Sand County Almanac	Philosophy-Nature-Science	1	readers/philosophy/leopold-sand-county.txt	readers/philosophy/leopold-sand-county.txt
augustine-confessions	Confessions	Philosophy-Meaning-Solitude	195	readers/philosophy/augustine-confessions.txt	readers/philosophy/augustine-confessions.txt
augustine-city-god	The City of God	Philosophy-Government-Power	456	readers/philosophy/augustine-city-god.txt	readers/philosophy/augustine-city-god.txt
pascal-pensees	Pensees	Philosophy-Meaning-Solitude	1	readers/philosophy/pascal-pensees.txt	readers/philosophy/pascal-pensees.txt
schopenhauer-world-will	The World as Will and Representation	Philosophy-Meaning-Solitude	340	readers/philosophy/schopenhauer-world-will.txt	readers/philosophy/schopenhauer-world-will.txt
schopenhauer-essays	Essays and Aphorisms	Philosophy-Meaning-Solitude	83	readers/philosophy/schopenhauer-essays.txt	readers/philosophy/schopenhauer-essays.txt
kierkegaard-fear-trembling	Fear and Trembling	Philosophy-Meaning-Solitude	1	readers/philosophy/kierkegaard-fear-trembling.txt	readers/philosophy/kierkegaard-fear-trembling.txt
kierkegaard-sickness-death	The Sickness Unto Death	Philosophy-Meaning-Solitude	1	readers/philosophy/kierkegaard-sickness-death.txt	readers/philosophy/kierkegaard-sickness-death.txt
nietzsche-zarathustra	Thus Spoke Zarathustra	Philosophy-Meaning-Solitude	321	readers/philosophy/nietzsche-zarathustra.txt	readers/philosophy/nietzsche-zarathustra.txt
nietzsche-beyond-good-evil	Beyond Good and Evil	Philosophy-Ethics-Good-Life	131	readers/philosophy/nietzsche-beyond-good-evil.txt	readers/philosophy/nietzsche-beyond-good-evil.txt
nietzsche-genealogy	On the Genealogy of Morality	Philosophy-Ethics-Good-Life	118	readers/philosophy/nietzsche-genealogy.txt	readers/philosophy/nietzsche-genealogy.txt
nietzsche-gay-science	The Gay Science	Philosophy-Meaning-Solitude	1	readers/philosophy/nietzsche-gay-science.txt	readers/philosophy/nietzsche-gay-science.txt
nietzsche-twilight	Twilight of the Idols	Philosophy-Meaning-Solitude	170	readers/philosophy/nietzsche-twilight.txt	readers/philosophy/nietzsche-twilight.txt
nietzsche-birth-tragedy	The Birth of Tragedy	Philosophy-Philosophical-Literature	117	readers/philosophy/nietzsche-birth-tragedy.txt	readers/philosophy/nietzsche-birth-tragedy.txt
nietzsche-ecce-homo	Ecce Homo	Philosophy-Meaning-Solitude	134	readers/philosophy/nietzsche-ecce-homo.txt	readers/philosophy/nietzsche-ecce-homo.txt
tolstoy-confession	A Confession	Philosophy-Meaning-Solitude	1	readers/philosophy/tolstoy-confession.txt	readers/philosophy/tolstoy-confession.txt
james-varieties	The Varieties of Religious Experience	Philosophy-Mind-Human-Nature	401	readers/philosophy/james-varieties.txt	readers/philosophy/james-varieties.txt
confucius-analects	The Analects	Philosophy-World-Traditions	72	readers/philosophy/confucius-analects.txt	readers/philosophy/confucius-analects.txt
mencius	Mencius	Philosophy-World-Traditions	240	readers/philosophy/mencius.txt	readers/philosophy/mencius.txt
laozi-tao-te-ching	Tao Te Ching	Philosophy-World-Traditions	1	readers/philosophy/laozi-tao-te-ching.txt	readers/philosophy/laozi-tao-te-ching.txt
zhuangzi	The Book of Chuang Tzu	Philosophy-World-Traditions	342	readers/philosophy/zhuangzi.txt	readers/philosophy/zhuangzi.txt
mozi-selected	Selected Writings of Mozi	Philosophy-World-Traditions	1	readers/philosophy/mozi-selected.txt	readers/philosophy/mozi-selected.txt
i-ching	The I Ching - Book of Changes	Philosophy-World-Traditions	1	readers/philosophy/i-ching.txt	readers/philosophy/i-ching.txt
bhagavad-gita	The Bhagavad Gita	Philosophy-World-Traditions	1	readers/philosophy/bhagavad-gita.txt	readers/philosophy/bhagavad-gita.txt
upanishads	The Principal Upanishads	Philosophy-World-Traditions	61	readers/philosophy/upanishads.txt	readers/philosophy/upanishads.txt
dhammapada	The Dhammapada	Philosophy-World-Traditions	42	readers/philosophy/dhammapada.txt	readers/philosophy/dhammapada.txt
sutta-nipata	The Sutta Nipata	Philosophy-World-Traditions	1	readers/philosophy/sutta-nipata.txt	readers/philosophy/sutta-nipata.txt
jataka-selections	Jataka Tales - Selected Birth Stories	Philosophy-World-Traditions	359	readers/philosophy/jataka-selections.txt	readers/philosophy/jataka-selections.txt
patanjali-yoga-sutras	The Yoga Sutras of Patanjali	Philosophy-World-Traditions	76	readers/philosophy/patanjali-yoga-sutras.txt	readers/philosophy/patanjali-yoga-sutras.txt
santideva-bodhisattva	The Way of the Bodhisattva	Philosophy-World-Traditions	1	readers/philosophy/santideva-bodhisattva.txt	readers/philosophy/santideva-bodhisattva.txt
vivekananda-raja-yoga	Raja Yoga	Philosophy-World-Traditions	1	readers/philosophy/vivekananda-raja-yoga.txt	readers/philosophy/vivekananda-raja-yoga.txt
tagore-sadhana	Sadhana	Philosophy-World-Traditions	13	readers/philosophy/tagore-sadhana.txt	readers/philosophy/tagore-sadhana.txt
maimonides-guide	The Guide for the Perplexed	Philosophy-World-Traditions	526	readers/philosophy/maimonides-guide.txt	readers/philosophy/maimonides-guide.txt
